family,direction,lookback,pre_bars,trigger_atr,move_atr,wick_ratio,wick_max,close_location,range_atr,body_min,body_max,h4,rr,max_hold,trades,win_rate,total_r,avg_r,pf,max_dd_r,max_losing_streak,worst_year_r,worst_2y_r,is_trades,is_r,oos_trades,oos_r,score
wick_sweep,long,48,6,0.05,0.8,0.55,1.0,0.75,1.0,0.0,0.65,not_oppose,1.0,12,86,46.51162790697674,-7.47969749492516,-0.08697322668517628,0.8234368278358218,10.264459226016179,6,-4.35902884880397,-4.699297070803754,76,-3.7235399537635865,10,-3.756157541161576,-61.67359139714516
wick_sweep,long,48,12,0.05,0.8,0.55,1.0,0.75,1.0,0.0,0.65,not_oppose,1.0,12,86,46.51162790697674,-7.47969749492516,-0.08697322668517628,0.8234368278358218,10.264459226016179,6,-4.35902884880397,-4.699297070803754,76,-3.7235399537635865,10,-3.756157541161576,-61.67359139714516
wick_sweep,long,48,12,0.05,1.2,0.55,1.0,0.75,1.0,0.0,0.65,not_oppose,1.0,12,86,46.51162790697674,-7.47969749492516,-0.08697322668517628,0.8234368278358218,10.264459226016179,6,-4.35902884880397,-4.699297070803754,76,-3.7235399537635865,10,-3.756157541161576,-61.67359139714516
wick_sweep,short,24,6,0.05,0.8,0.65,1.0,0.65,1.0,0.0,0.65,align,1.2,12,84,44.047619047619044,-12.069274882140567,-0.14368184383500676,0.7545894383752141,21.253860444520317,11,-4.662317139172973,-9.227895617979792,79,-11.165494315580283,5,-0.9037805665602836,-62.95396417475037
wick_sweep,short,24,6,0.05,0.8,0.55,1.0,0.65,1.0,0.0,0.65,align,1.2,12,111,45.94594594594595,-12.002616577648663,-0.10813168087971768,0.8075503190926169,21.029733971144662,7,-5.169626782072676,-8.79289716810798,103,-10.126950039395235,8,-1.8756665382534283,-63.35828898444004
wick_sweep,short,24,6,0.05,0.8,0.55,1.0,0.75,1.0,0.0,0.65,align,1.0,24,78,43.58974358974359,-16.699392447208517,-0.21409477496421175,0.6517156614620124,20.741159493191255,6,-4.351754920846588,-6.120675428695822,71,-15.282719035485353,7,-1.4166734117231665,-63.98163541584917
wick_sweep,long,48,6,0.05,1.2,0.55,1.0,0.65,1.0,0.0,0.65,any,1.0,12,281,50.5338078291815,-11.956949745638038,-0.04255142258234177,0.9091482939107536,16.315678129975055,6,-8.037343856481463,-8.81019155129406,263,-8.911577567477995,18,-3.045372178160043,-64.1638985490014
wick_sweep,long,24,12,0.05,1.2,0.55,1.0,0.75,1.0,0.0,0.65,not_oppose,1.0,24,151,50.993377483443716,-9.128434615414582,-0.0604532093736065,0.8820462002611507,11.898275603036888,6,-4.454480463461226,-4.88600456472899,137,-5.05904357529532,14,-4.069391040119258,-64.22022241049031
wick_sweep,long,24,12,0.05,0.8,0.55,1.0,0.75,1.0,0.0,0.65,not_oppose,1.0,24,153,50.98039215686274,-9.321022789592199,-0.06092171757903398,0.8811872377002583,12.09086377721451,6,-4.454480463461226,-4.88600456472899,139,-5.251631749472941,14,-4.069391040119258,-64.46890054466975
wick_sweep,short,24,6,0.05,0.8,0.55,1.0,0.65,1.0,0.0,0.65,align,1.2,24,111,45.04504504504504,-11.288292462897806,-0.10169632849457483,0.8309519195123539,23.064176843905148,7,-4.657442328277641,-9.144730155057726,103,-9.412625924644376,8,-1.8756665382534283,-64.53986181234754
wick_sweep,short,24,6,0.05,0.8,0.65,1.0,0.65,1.0,0.0,0.65,not_oppose,1.0,12,116,47.41379310344828,-16.984006000953933,-0.14641384483580977,0.7299098683002901,23.832250434044816,11,-5.6443101247003895,-9.935195848004254,108,-16.42932446553344,8,-0.5546815354204948,-64.77188114810014
wick_sweep,short,24,6,0.05,0.8,0.55,1.0,0.75,1.0,0.0,0.65,align,1.0,12,78,44.871794871794876,-16.84769640912645,-0.21599610780931344,0.6168669614123493,19.213951076623736,6,-4.351754920846588,-7.036994231155501,71,-15.431022997403284,7,-1.4166734117231665,-65.14249697215
wick_sweep,short,24,12,0.05,0.8,0.55,1.0,0.75,1.0,0.0,0.65,not_oppose,1.0,12,106,44.339622641509436,-20.801095307460407,-0.19623674818358874,0.6465159229678268,25.37989745571093,7,-5.682204390617631,-9.17375624349089,98,-20.295043413398272,8,-0.5060518940621319,-65.28307072589574
wick_sweep,short,24,12,0.05,1.2,0.55,1.0,0.75,1.0,0.0,0.65,not_oppose,1.2,12,105,42.857142857142854,-15.398956479383608,-0.14665672837508198,0.7406368172345055,19.565120097350746,7,-5.282204390617685,-7.703840986996392,97,-13.492904585321424,8,-1.9060518940621882,-65.44934121812929
